step,split,loss,lr
0,train,9.278099,0.03
1,train,6.180687,0.03
2,train,12.277735,0.03
3,train,7.154607,0.03
4,train,12.190530,0.03
5,train,12.451187,0.03
6,train,14.819244,0.03
7,train,8.691950,0.03
8,train,7.848375,0.03
9,train,7.712971,0.03
10,train,7.126894,0.03
11,train,6.342769,0.03
12,train,6.786907,0.03
13,train,6.062446,0.03
14,train,5.632931,0.03
15,train,5.735000,0.03
16,train,5.690808,0.03
17,train,5.651623,0.03
18,train,5.687248,0.03
19,train,5.934681,0.03
20,train,5.467594,0.03
21,train,5.287097,0.03
22,train,4.931875,0.03
23,train,4.811726,0.03
24,train,4.790494,0.03
25,train,4.474977,0.03
26,train,4.412074,0.03
27,train,4.428686,0.03
28,train,4.396935,0.03
29,train,4.507617,0.03
30,train,4.392201,0.03
31,train,4.742798,0.03
32,train,4.535075,0.03
33,train,4.299119,0.03
34,train,4.497035,0.03
35,train,4.376336,0.03
36,train,4.669824,0.03
37,train,4.521643,0.03
38,train,4.451407,0.03
39,train,4.412319,0.03
40,train,4.411038,0.03
41,train,4.668290,0.03
42,train,4.270380,0.03
43,train,4.416686,0.03
44,train,4.293600,0.03
45,train,4.414494,0.03
46,train,4.613420,0.03
47,train,4.264379,0.03
48,train,4.288799,0.03
49,train,4.011686,0.03
50,train,3.960654,0.03
51,train,4.191922,0.03
52,train,4.403568,0.03
53,train,3.721712,0.03
54,train,4.091411,0.03
55,train,4.133870,0.03
56,train,4.120328,0.03
57,train,4.664791,0.03
58,train,3.794301,0.03
59,train,4.119394,0.03
60,train,4.113871,0.03
61,train,4.461154,0.03
62,train,4.159962,0.03
63,train,4.006646,0.03
64,train,4.208100,0.03
65,train,4.483598,0.03
66,train,4.336008,0.03
67,train,3.850904,0.03
68,train,4.181631,0.03
69,train,3.895029,0.03
70,train,3.635190,0.03
71,train,4.309928,0.03
72,train,3.991181,0.03
73,train,4.157835,0.03
74,train,4.139529,0.03
75,train,4.434097,0.03
76,train,3.717353,0.03
77,train,3.991127,0.03
78,train,4.167891,0.03
79,train,4.302168,0.03
80,train,4.505295,0.03
81,train,4.083804,0.03
82,train,4.124805,0.03
83,train,3.829898,0.03
84,train,4.047050,0.03
85,train,3.824503,0.03
86,train,4.068762,0.03
87,train,3.872936,0.03
88,train,3.896498,0.03
89,train,4.334721,0.03
90,train,3.788685,0.03
91,train,3.645137,0.03
92,train,3.877344,0.03
93,train,4.198967,0.03
94,train,3.670707,0.03
95,train,4.113527,0.03
96,train,4.518370,0.03
97,train,4.068320,0.03
98,train,3.746772,0.03
99,train,3.865386,0.03
100,train,4.101959,0.03
100,val,3.893326,0.03
101,train,3.773042,0.03
102,train,3.660808,0.03
103,train,4.434855,0.03
104,train,3.844211,0.03
105,train,4.017836,0.03
106,train,3.643954,0.03
107,train,4.073692,0.03
108,train,3.774599,0.03
109,train,4.099058,0.03
110,train,3.917296,0.03
111,train,3.953333,0.03
112,train,3.656866,0.03
113,train,3.686121,0.03
114,train,4.032070,0.03
115,train,3.688668,0.03
116,train,3.890978,0.03
117,train,3.988672,0.03
118,train,4.111754,0.03
119,train,3.778437,0.03
120,train,3.951820,0.03
121,train,3.777968,0.03
122,train,3.660243,0.03
123,train,3.703397,0.03
124,train,3.957262,0.03
125,train,3.923679,0.03
126,train,3.814946,0.03
127,train,3.700930,0.03
128,train,4.326838,0.03
129,train,4.177297,0.03
130,train,3.936728,0.03
131,train,3.637003,0.03
132,train,3.895164,0.03
133,train,4.091884,0.03
134,train,3.659163,0.03
135,train,3.969535,0.03
136,train,4.175043,0.03
137,train,3.891653,0.03
138,train,3.846494,0.03
139,train,4.264360,0.03
140,train,3.872291,0.03
141,train,3.886789,0.03
142,train,4.134056,0.03
143,train,3.862197,0.03
144,train,3.732320,0.03
145,train,4.358417,0.03
146,train,3.714071,0.03
147,train,3.960129,0.03
148,train,3.603192,0.03
149,train,3.665777,0.03
150,train,3.618909,0.03
151,train,4.347668,0.03
152,train,3.735898,0.03
153,train,3.784315,0.03
154,train,3.787986,0.03
155,train,3.810217,0.03
156,train,3.657026,0.03
157,train,3.840552,0.03
158,train,3.636174,0.03
159,train,3.848585,0.03
160,train,3.916687,0.03
161,train,3.562838,0.03
162,train,3.670020,0.03
163,train,4.114704,0.03
164,train,3.957655,0.03
165,train,3.613656,0.03
166,train,3.587554,0.03
167,train,3.358526,0.03
168,train,3.734872,0.03
169,train,3.871958,0.03
170,train,3.753659,0.03
171,train,4.408013,0.03
172,train,3.527227,0.03
173,train,3.579030,0.03
174,train,3.794161,0.03
175,train,3.730735,0.03
176,train,3.631657,0.03
177,train,3.768771,0.03
178,train,4.004620,0.03
179,train,3.459747,0.03
180,train,3.780347,0.03
181,train,3.562612,0.03
182,train,3.936014,0.03
183,train,4.042317,0.03
184,train,3.879464,0.03
185,train,3.743054,0.03
186,train,3.625097,0.03
187,train,3.876135,0.03
188,train,3.896305,0.03
189,train,3.937704,0.03
190,train,3.801756,0.03
191,train,3.788350,0.03
192,train,3.840580,0.03
193,train,3.770974,0.03
194,train,3.821699,0.03
195,train,3.749537,0.03
196,train,3.494869,0.03
197,train,3.783841,0.03
198,train,3.963465,0.03
199,train,3.836965,0.03
200,train,3.828803,0.03
200,val,3.792814,0.03
201,train,3.701200,0.03
202,train,3.820147,0.03
203,train,3.566348,0.03
204,train,4.262128,0.03
205,train,3.764124,0.03
206,train,3.611034,0.03
207,train,3.793122,0.03
208,train,3.650745,0.03
209,train,3.555295,0.03
210,train,3.610490,0.03
211,train,3.711194,0.03
212,train,3.820252,0.03
213,train,3.893336,0.03
214,train,4.023560,0.03
215,train,3.572516,0.03
216,train,3.887538,0.03
217,train,3.967129,0.03
218,train,3.567627,0.03
219,train,3.856304,0.03
220,train,3.955438,0.03
221,train,3.784242,0.03
222,train,3.527343,0.03
223,train,3.474530,0.03
224,train,3.581930,0.03
225,train,3.810342,0.03
226,train,3.944550,0.03
227,train,3.494030,0.03
228,train,3.662049,0.03
229,train,3.743297,0.03
230,train,3.780194,0.03
231,train,3.518800,0.03
232,train,3.854070,0.03
233,train,3.985726,0.03
234,train,3.973549,0.03
235,train,3.615000,0.03
236,train,3.852793,0.03
237,train,3.712411,0.03
238,train,3.673895,0.03
239,train,4.146559,0.03
240,train,3.811382,0.03
241,train,3.772240,0.03
242,train,3.863465,0.03
243,train,3.667225,0.03
244,train,3.639791,0.03
245,train,3.457332,0.03
246,train,3.755792,0.03
247,train,3.377328,0.03
248,train,3.827024,0.03
249,train,3.927882,0.03
250,train,4.142941,0.03
251,train,3.579902,0.03
252,train,3.989579,0.03
253,train,3.598880,0.03
254,train,3.531770,0.03
255,train,3.684375,0.03
256,train,3.843645,0.03
257,train,3.730572,0.03
258,train,4.147223,0.03
259,train,3.734614,0.03
260,train,3.490812,0.03
261,train,3.874828,0.03
262,train,3.915244,0.03
263,train,3.840515,0.03
264,train,3.975934,0.03
265,train,3.726384,0.03
266,train,3.824547,0.03
267,train,3.516923,0.03
268,train,3.532349,0.03
269,train,3.910140,0.03
270,train,4.326986,0.03
271,train,3.509846,0.03
272,train,3.990374,0.03
273,train,3.715623,0.03
274,train,3.716555,0.03
275,train,3.576669,0.03
276,train,3.903962,0.03
277,train,3.665083,0.03
278,train,3.745947,0.03
