step,split,loss,lr
0,train,9.204597,0.03
1,train,8.407578,0.03
2,train,5.224029,0.03
3,train,6.917658,0.03
4,train,9.598245,0.03
5,train,7.757757,0.03
6,train,6.856412,0.03
7,train,6.080138,0.03
8,train,5.346393,0.03
9,train,6.940516,0.03
10,train,5.461729,0.03
11,train,4.886756,0.03
12,train,4.646216,0.03
13,train,4.511436,0.03
14,train,4.407636,0.03
15,train,4.399976,0.03
16,train,4.329654,0.03
17,train,4.250718,0.03
18,train,4.234400,0.03
19,train,4.201084,0.03
20,train,4.169659,0.03
21,train,4.113172,0.03
22,train,4.026113,0.03
23,train,3.948022,0.03
24,train,3.948317,0.03
25,train,3.924973,0.03
26,train,3.906187,0.03
27,train,3.918266,0.03
28,train,3.878346,0.03
29,train,3.849647,0.03
30,train,3.830122,0.03
31,train,3.815387,0.03
32,train,3.790778,0.03
33,train,3.808331,0.03
34,train,3.735658,0.03
35,train,3.719834,0.03
36,train,3.709541,0.03
37,train,3.694300,0.03
38,train,3.688730,0.03
39,train,3.650034,0.03
40,train,3.631397,0.03
41,train,3.622555,0.03
42,train,3.614057,0.03
43,train,3.611362,0.03
44,train,3.581514,0.03
45,train,3.589159,0.03
46,train,3.559152,0.03
47,train,3.576391,0.03
48,train,3.584447,0.03
49,train,3.534877,0.03
50,train,3.555423,0.03
51,train,3.601617,0.03
52,train,3.499213,0.03
53,train,3.508776,0.03
54,train,3.530789,0.03
55,train,3.525166,0.03
56,train,3.525996,0.03
57,train,3.526167,0.03
58,train,3.495614,0.03
59,train,3.496246,0.03
60,train,3.481344,0.03
61,train,3.496227,0.03
62,train,3.405820,0.03
63,train,3.495324,0.03
64,train,3.444038,0.03
65,train,3.466211,0.03
66,train,3.442833,0.03
67,train,3.429340,0.03
68,train,3.461221,0.03
69,train,3.456008,0.03
70,train,3.473672,0.03
71,train,3.448629,0.03
72,train,3.415454,0.03
73,train,3.386971,0.03
74,train,3.432834,0.03
75,train,3.395103,0.03
76,train,3.439007,0.03
77,train,3.403185,0.03
78,train,3.355105,0.03
79,train,3.348272,0.03
80,train,3.373049,0.03
81,train,3.360515,0.03
82,train,3.352179,0.03
83,train,3.308879,0.03
84,train,3.365972,0.03
85,train,3.353210,0.03
86,train,3.342456,0.03
87,train,3.311761,0.03
88,train,3.350459,0.03
89,train,3.372272,0.03
90,train,3.369969,0.03
91,train,3.320018,0.03
92,train,3.357211,0.03
93,train,3.337550,0.03
94,train,3.362847,0.03
95,train,3.315254,0.03
96,train,3.310644,0.03
97,train,3.319840,0.03
98,train,3.271917,0.03
99,train,3.283467,0.03
100,train,3.292413,0.03
100,val,3.273026,0.03
101,train,3.236723,0.03
102,train,3.264158,0.03
103,train,3.253320,0.03
104,train,3.246771,0.03
105,train,3.274655,0.03
106,train,3.236661,0.03
107,train,3.229381,0.03
108,train,3.226734,0.03
109,train,3.225454,0.03
110,train,3.242529,0.03
111,train,3.227531,0.03
112,train,3.203210,0.03
113,train,3.183589,0.03
114,train,3.218525,0.03
115,train,3.150124,0.03
116,train,3.260616,0.03
117,train,3.231053,0.03
118,train,3.198531,0.03
119,train,3.229547,0.03
120,train,3.199189,0.03
121,train,3.254817,0.03
122,train,3.204188,0.03
123,train,3.166143,0.03
124,train,3.209630,0.03
125,train,3.170353,0.03
126,train,3.186389,0.03
127,train,3.199168,0.03
128,train,3.141408,0.03
129,train,3.154758,0.03
130,train,3.161908,0.03
131,train,3.171276,0.03
132,train,3.111542,0.03
133,train,3.118709,0.03
134,train,3.164243,0.03
135,train,3.119262,0.03
136,train,3.161174,0.03
137,train,3.149277,0.03
138,train,3.103111,0.03
139,train,3.097183,0.03
140,train,3.141051,0.03
141,train,3.120046,0.03
