step,split,loss,lr
0,train,9.296076,0.0
1,train,9.292089,1.5e-05
2,train,9.232538,3e-05
3,train,9.115914,4.4999999999999996e-05
4,train,8.941837,6e-05
5,train,8.689356,7.500000000000001e-05
6,train,8.435384,8.999999999999999e-05
7,train,8.182039,0.00010500000000000002
8,train,7.978918,0.00012
9,train,7.727811,0.000135
10,train,7.496414,0.00015000000000000001
11,train,7.279365,0.000165
12,train,7.049432,0.00017999999999999998
13,train,6.856169,0.00019500000000000002
14,train,6.664713,0.00021000000000000004
15,train,6.524330,0.000225
16,train,6.317536,0.00024
17,train,6.124990,0.000255
18,train,5.904173,0.00027
19,train,5.736204,0.000285
20,train,5.564486,0.00030000000000000003
21,train,5.372155,0.000315
22,train,5.232854,0.00033
23,train,5.042060,0.00034500000000000004
24,train,4.805194,0.00035999999999999997
25,train,4.744775,0.000375
26,train,4.607549,0.00039000000000000005
27,train,4.417652,0.00040500000000000003
28,train,4.338296,0.00042000000000000007
29,train,4.164458,0.000435
30,train,4.133312,0.00045
31,train,4.055397,0.000465
32,train,3.992986,0.00048
33,train,3.911810,0.000495
34,train,3.839172,0.00051
35,train,3.749804,0.000525
36,train,3.744135,0.00054
37,train,3.711699,0.000555
38,train,3.598953,0.00057
39,train,3.686667,0.000585
40,train,3.676517,0.0006000000000000001
41,train,3.536782,0.000615
42,train,3.573680,0.00063
43,train,3.562637,0.000645
44,train,3.469961,0.00066
45,train,3.442345,0.000675
46,train,3.382112,0.0006900000000000001
47,train,3.369359,0.000705
48,train,3.385385,0.0007199999999999999
49,train,3.269672,0.000735
50,train,3.285463,0.00075
51,train,3.269495,0.0007650000000000001
52,train,3.168957,0.0007800000000000001
53,train,3.169156,0.000795
54,train,3.113370,0.0008100000000000001
55,train,3.022133,0.0008250000000000001
56,train,3.118180,0.0008400000000000001
57,train,3.057627,0.000855
58,train,3.060625,0.00087
59,train,2.956323,0.0008849999999999999
60,train,3.017619,0.0009
61,train,3.066010,0.000915
62,train,3.006844,0.00093
63,train,2.930196,0.000945
64,train,2.925030,0.00096
65,train,2.914460,0.0009750000000000001
66,train,2.946305,0.00099
67,train,2.803443,0.001005
68,train,2.926397,0.00102
69,train,2.812749,0.001035
70,train,2.748506,0.00105
71,train,2.816721,0.001065
72,train,2.788616,0.00108
73,train,2.850834,0.001095
74,train,2.802708,0.00111
75,train,2.778548,0.0011250000000000001
