step,split,loss,lr
0,train,9.285630,0.001
1,train,7.686012,0.001
2,train,6.569577,0.001
3,train,5.845772,0.001
4,train,5.264028,0.001
5,train,4.785825,0.001
6,train,4.441543,0.001
7,train,4.170345,0.001
8,train,3.978025,0.001
9,train,3.840191,0.001
10,train,3.751168,0.001
11,train,3.742982,0.001
12,train,3.669773,0.001
13,train,3.707452,0.001
14,train,3.642444,0.001
15,train,3.542601,0.001
16,train,3.513492,0.001
17,train,3.405832,0.001
18,train,3.455545,0.001
19,train,3.413584,0.001
20,train,3.441172,0.001
21,train,3.306210,0.001
22,train,3.265362,0.001
23,train,3.194129,0.001
24,train,3.257972,0.001
25,train,3.167329,0.001
26,train,3.094370,0.001
27,train,3.145617,0.001
28,train,2.997722,0.001
29,train,3.021455,0.001
30,train,2.965454,0.001
31,train,3.021829,0.001
32,train,3.068181,0.001
33,train,2.930018,0.001
34,train,2.891059,0.001
35,train,3.000507,0.001
36,train,3.030364,0.001
37,train,2.932066,0.001
38,train,2.935512,0.001
39,train,2.878376,0.001
40,train,2.788949,0.001
41,train,2.882537,0.001
42,train,2.836516,0.001
43,train,2.859199,0.001
44,train,2.892286,0.001
45,train,2.771945,0.001
46,train,2.757604,0.001
47,train,2.782414,0.001
48,train,2.786361,0.001
49,train,2.837420,0.001
50,train,2.769355,0.001
51,train,2.774576,0.001
52,train,2.778838,0.001
53,train,2.709090,0.001
54,train,2.743165,0.001
55,train,2.771072,0.001
56,train,2.700879,0.001
57,train,2.628524,0.001
58,train,2.609528,0.001
59,train,2.604223,0.001
60,train,2.619788,0.001
61,train,2.641908,0.001
62,train,2.615664,0.001
63,train,2.610049,0.001
64,train,2.571708,0.001
65,train,2.578917,0.001
66,train,2.595878,0.001
67,train,2.535719,0.001
68,train,2.502880,0.001
69,train,2.505944,0.001
70,train,2.475266,0.001
71,train,2.509375,0.001
72,train,2.427222,0.001
73,train,2.440045,0.001
74,train,2.472948,0.001
75,train,2.458906,0.001
76,train,2.338334,0.001
77,train,2.430935,0.001
78,train,2.444376,0.001
79,train,2.380065,0.001
80,train,2.357361,0.001
81,train,2.296926,0.001
82,train,2.330910,0.001
83,train,2.342560,0.001
84,train,2.298286,0.001
85,train,2.313626,0.001
86,train,2.278347,0.001
87,train,2.299755,0.001
88,train,2.302636,0.001
89,train,2.293089,0.001
90,train,2.272115,0.001
91,train,2.254988,0.001
92,train,2.239459,0.001
93,train,2.245577,0.001
94,train,2.181641,0.001
95,train,2.187871,0.001
96,train,2.181911,0.001
97,train,2.213393,0.001
98,train,2.183699,0.001
99,train,2.161064,0.001
100,train,2.131923,0.001
100,val,2.152978,0.001
101,train,2.157288,0.001
102,train,2.030518,0.001
103,train,2.258277,0.001
104,train,2.131536,0.001
105,train,2.126122,0.001
106,train,2.094282,0.001
107,train,2.110516,0.001
108,train,2.141939,0.001
109,train,2.066768,0.001
110,train,2.003727,0.001
111,train,2.071593,0.001
112,train,2.090672,0.001
113,train,2.035553,0.001
114,train,2.064165,0.001
115,train,2.092262,0.001
116,train,2.030631,0.001
117,train,2.031379,0.001
118,train,2.073936,0.001
119,train,1.984328,0.001
120,train,1.960833,0.001
121,train,2.012829,0.001
122,train,1.939427,0.001
123,train,2.033604,0.001
124,train,1.945449,0.001
125,train,2.033597,0.001
126,train,1.915006,0.001
127,train,2.063589,0.001
128,train,1.996577,0.001
129,train,2.001482,0.001
130,train,1.975817,0.001
131,train,1.948716,0.001
132,train,1.824504,0.001
133,train,1.979361,0.001
134,train,1.959774,0.001
135,train,1.931779,0.001
136,train,1.955832,0.001
137,train,1.921349,0.001
138,train,1.828756,0.001
139,train,1.888619,0.001
140,train,1.889596,0.001
141,train,1.919181,0.001
142,train,1.876569,0.001
143,train,1.957138,0.001
144,train,1.785506,0.001
145,train,1.860360,0.001
146,train,1.897909,0.001
147,train,1.830846,0.001
148,train,1.824169,0.001
149,train,1.902596,0.001
150,train,1.851809,0.001
151,train,1.791505,0.001
152,train,1.916575,0.001
153,train,1.851217,0.001
154,train,1.865108,0.001
155,train,1.819873,0.001
156,train,1.871330,0.001
157,train,1.778741,0.001
158,train,1.856468,0.001
159,train,1.847498,0.001
160,train,1.842764,0.001
161,train,1.803992,0.001
162,train,1.820601,0.001
163,train,1.694129,0.001
164,train,1.837018,0.001
165,train,1.827888,0.001
166,train,1.691290,0.001
167,train,1.839224,0.001
168,train,1.763942,0.001
169,train,1.802613,0.001
170,train,1.850153,0.001
171,train,1.826810,0.001
172,train,1.848603,0.001
173,train,1.842605,0.001
174,train,1.779930,0.001
175,train,1.685085,0.001
176,train,1.808360,0.001
177,train,1.715328,0.001
178,train,1.764799,0.001
179,train,1.718326,0.001
180,train,1.787612,0.001
181,train,1.758053,0.001
182,train,1.752270,0.001
183,train,1.814765,0.001
184,train,1.770078,0.001
185,train,1.700337,0.001
186,train,1.720746,0.001
187,train,1.725833,0.001
188,train,1.738078,0.001
189,train,1.796055,0.001
190,train,1.722964,0.001
191,train,1.732264,0.001
192,train,1.665652,0.001
193,train,1.727832,0.001
194,train,1.824087,0.001
195,train,1.727304,0.001
196,train,1.763048,0.001
197,train,1.605362,0.001
198,train,1.664517,0.001
199,train,1.703549,0.001
200,train,1.617166,0.001
200,val,1.692051,0.001
201,train,1.710111,0.001
202,train,1.724902,0.001
203,train,1.671367,0.001
204,train,1.629708,0.001
205,train,1.681849,0.001
206,train,1.719334,0.001
207,train,1.635613,0.001
208,train,1.682387,0.001
209,train,1.589006,0.001
210,train,1.624036,0.001
211,train,1.643428,0.001
212,train,1.612578,0.001
213,train,1.619016,0.001
214,train,1.705370,0.001
215,train,1.657990,0.001
216,train,1.642078,0.001
217,train,1.653011,0.001
218,train,1.624689,0.001
219,train,1.631047,0.001
220,train,1.690762,0.001
221,train,1.658686,0.001
222,train,1.586914,0.001
223,train,1.583399,0.001
224,train,1.663922,0.001
225,train,1.654184,0.001
226,train,1.727029,0.001
227,train,1.595843,0.001
228,train,1.581957,0.001
229,train,1.718151,0.001
230,train,1.711300,0.001
231,train,1.615893,0.001
232,train,1.593682,0.001
233,train,1.653928,0.001
234,train,1.657298,0.001
235,train,1.655411,0.001
236,train,1.664724,0.001
237,train,1.641373,0.001
238,train,1.609568,0.001
239,train,1.639708,0.001
240,train,1.653801,0.001
241,train,1.690123,0.001
242,train,1.512238,0.001
243,train,1.622942,0.001
244,train,1.604983,0.001
245,train,1.584129,0.001
246,train,1.652194,0.001
247,train,1.604363,0.001
248,train,1.556431,0.001
249,train,1.624859,0.001
250,train,1.575287,0.001
251,train,1.581796,0.001
252,train,1.661575,0.001
253,train,1.670282,0.001
254,train,1.666217,0.001
255,train,1.572230,0.001
256,train,1.642691,0.001
