step,split,loss,lr
0,train,9.260226,0.1
1,train,1534.930176,0.1
2,train,1057444.500000,0.1
3,train,764564.500000,0.1
4,train,259918.343750,0.1
5,train,162254.468750,0.1
6,train,1091903.000000,0.1
7,train,475200.312500,0.1
8,train,358544.937500,0.1
9,train,251076.187500,0.1
10,train,100662.617188,0.1
11,train,54922.617188,0.1
12,train,46615.921875,0.1
13,train,125847.414062,0.1
14,train,83970.171875,0.1
15,train,43903.671875,0.1
16,train,18858.421875,0.1
17,train,20396.644531,0.1
18,train,17570.857422,0.1
19,train,19533.894531,0.1
20,train,18237.501953,0.1
21,train,15898.169922,0.1
22,train,14213.890625,0.1
23,train,13049.790039,0.1
24,train,12081.219727,0.1
25,train,10915.415039,0.1
26,train,10401.253906,0.1
27,train,11731.955078,0.1
28,train,8632.404297,0.1
29,train,11943.523438,0.1
30,train,10133.843750,0.1
31,train,9041.162109,0.1
32,train,8207.490234,0.1
33,train,6795.372559,0.1
34,train,5057.596680,0.1
35,train,4588.812012,0.1
36,train,2812.327637,0.1
37,train,1938.815308,0.1
38,train,1844.077637,0.1
39,train,1481.501465,0.1
40,train,1419.857666,0.1
41,train,1118.168945,0.1
42,train,1046.147095,0.1
43,train,873.647217,0.1
44,train,776.359375,0.1
45,train,721.384644,0.1
46,train,632.372437,0.1
47,train,565.113647,0.1
48,train,497.614197,0.1
49,train,462.518555,0.1
50,train,418.074585,0.1
51,train,380.967926,0.1
52,train,325.172302,0.1
53,train,298.297180,0.1
54,train,260.551270,0.1
55,train,238.261841,0.1
56,train,214.457428,0.1
57,train,195.569183,0.1
58,train,183.483459,0.1
59,train,170.610229,0.1
60,train,154.678009,0.1
61,train,145.376770,0.1
62,train,137.344040,0.1
63,train,123.076080,0.1
64,train,109.267639,0.1
65,train,102.127609,0.1
66,train,101.919403,0.1
67,train,87.837036,0.1
68,train,88.438385,0.1
69,train,84.602669,0.1
70,train,77.493835,0.1
71,train,69.694748,0.1
72,train,90.055130,0.1
73,train,69.643234,0.1
74,train,73.173538,0.1
75,train,76.312706,0.1
76,train,70.375870,0.1
77,train,62.714714,0.1
78,train,54.239021,0.1
79,train,48.369415,0.1
80,train,43.288475,0.1
81,train,41.032379,0.1
82,train,35.140511,0.1
83,train,33.684608,0.1
84,train,32.313137,0.1
85,train,30.166033,0.1
86,train,28.390411,0.1
87,train,26.164734,0.1
88,train,24.244146,0.1
89,train,22.752682,0.1
90,train,25.966940,0.1
91,train,20.959839,0.1
92,train,20.899189,0.1
93,train,20.969198,0.1
94,train,20.418709,0.1
95,train,19.844318,0.1
96,train,17.927370,0.1
97,train,15.784916,0.1
98,train,15.282278,0.1
99,train,14.607818,0.1
100,train,14.293308,0.1
100,val,13.671596,0.1
101,train,13.836391,0.1
102,train,12.516972,0.1
103,train,12.586802,0.1
104,train,12.412849,0.1
105,train,11.929481,0.1
106,train,11.427114,0.1
107,train,11.195312,0.1
108,train,10.681841,0.1
109,train,10.734610,0.1
110,train,10.163326,0.1
111,train,9.691131,0.1
112,train,9.498770,0.1
113,train,9.224873,0.1
114,train,9.203764,0.1
115,train,8.846743,0.1
116,train,8.718620,0.1
117,train,8.613498,0.1
118,train,8.477727,0.1
119,train,8.239698,0.1
120,train,7.927747,0.1
121,train,7.957458,0.1
122,train,7.789739,0.1
123,train,7.769975,0.1
124,train,7.686409,0.1
125,train,7.443969,0.1
126,train,7.414252,0.1
127,train,7.357661,0.1
128,train,7.272882,0.1
129,train,7.200360,0.1
130,train,7.106672,0.1
131,train,7.034660,0.1
132,train,6.945138,0.1
133,train,6.943059,0.1
134,train,6.831478,0.1
135,train,6.885777,0.1
136,train,6.783262,0.1
