step,split,loss
0,train,9.231405
1,train,8.016809
2,train,4.574142
3,train,5.642802
4,train,4.755189
5,train,4.745281
6,train,4.773173
7,train,4.656517
8,train,4.558447
9,train,4.481431
10,train,4.392935
11,train,4.353671
12,train,4.273657
13,train,4.268755
14,train,4.259165
15,train,4.176991
16,train,4.158911
17,train,4.075965
18,train,4.026652
19,train,3.977567
20,train,3.915161
21,train,3.852226
22,train,3.778301
23,train,3.725007
24,train,3.700791
25,train,3.666663
26,train,3.670336
27,train,3.649731
28,train,3.644628
29,train,3.627105
30,train,3.628476
31,train,3.638581
32,train,3.580020
33,train,3.530017
34,train,3.538997
35,train,3.510012
36,train,3.495969
37,train,3.502174
38,train,3.472732
39,train,3.473119
40,train,3.472092
41,train,3.478970
42,train,3.466923
43,train,3.462431
44,train,3.440274
45,train,3.451292
46,train,3.418043
47,train,3.441146
48,train,3.409423
49,train,3.406370
50,train,3.402228
51,train,3.402849
52,train,3.371233
53,train,3.379601
54,train,3.386555
55,train,3.383438
56,train,3.380908
57,train,3.389482
58,train,3.386118
59,train,3.366367
60,train,3.345461
61,train,3.374987
62,train,3.352212
63,train,3.346535
64,train,3.334400
65,train,3.371031
66,train,3.344022
67,train,3.346878
68,train,3.323472
69,train,3.331394
70,train,3.302868
71,train,3.330849
72,train,3.304241
73,train,3.305259
74,train,3.308967
75,train,3.320936
76,train,3.321848
77,train,3.297885
78,train,3.304012
79,train,3.292495
80,train,3.309609
81,train,3.272506
82,train,3.289864
83,train,3.280303
84,train,3.307858
85,train,3.286416
86,train,3.265553
87,train,3.273429
88,train,3.249733
89,train,3.268963
90,train,3.261581
91,train,3.270947
92,train,3.262106
93,train,3.255978
94,train,3.252198
95,train,3.263555
96,train,3.269794
97,train,3.238363
98,train,3.258305
99,train,3.269283
100,train,3.223346
100,val,3.237407
101,train,3.237867
102,train,3.247195
103,train,3.229783
104,train,3.246926
105,train,3.222754
106,train,3.240421
107,train,3.218105
108,train,3.217215
109,train,3.229702
110,train,3.219913
111,train,3.214758
112,train,3.224135
113,train,3.223257
114,train,3.193795
115,train,3.196168
116,train,3.191672
117,train,3.204484
118,train,3.204336
119,train,3.210406
120,train,3.185634
121,train,3.199245
122,train,3.149691
123,train,3.164076
124,train,3.200477
125,train,3.207297
126,train,3.179903
127,train,3.175951
128,train,3.171981
129,train,3.155673
130,train,3.165536
131,train,3.161437
132,train,3.152086
133,train,3.160430
134,train,3.178983
135,train,3.145117
136,train,3.150623
137,train,3.152951
138,train,3.147184
139,train,3.130216
140,train,3.157203
141,train,3.145715
142,train,3.140628
143,train,3.133998
144,train,3.130695
145,train,3.135065
146,train,3.136080
147,train,3.118245
148,train,3.126662
149,train,3.115865
150,train,3.137200
151,train,3.103991
152,train,3.104068
153,train,3.104343
154,train,3.120047
155,train,3.093458
156,train,3.100604
157,train,3.118856
158,train,3.127296
159,train,3.090597
160,train,3.107419
161,train,3.083508
162,train,3.104584
163,train,3.107735
164,train,3.090841
165,train,3.108283
166,train,3.091388
167,train,3.072646
168,train,3.054751
169,train,3.092206
170,train,3.058393
171,train,3.095235
172,train,3.051159
173,train,3.060875
174,train,3.065744
175,train,3.026294
176,train,3.050974
177,train,3.051219
178,train,3.045424
179,train,3.011258
180,train,3.051285
181,train,3.035461
182,train,3.034888
183,train,3.015206
184,train,3.019874
185,train,3.025928
186,train,3.019159
187,train,2.989344
188,train,2.993103
189,train,3.026536
190,train,2.991504
191,train,3.010989
192,train,2.967927
193,train,2.988795
194,train,2.967322
195,train,2.951443
196,train,2.965995
197,train,2.966542
198,train,2.942218
199,train,2.960103
200,train,2.961087
200,val,2.933438
201,train,2.892476
202,train,2.911133
203,train,2.906960
204,train,2.918892
205,train,2.902710
206,train,2.890245
207,train,2.893679
208,train,2.862824
209,train,2.871180
210,train,2.877884
211,train,2.871548
212,train,2.844441
213,train,2.847397
214,train,2.838192
215,train,2.855114
216,train,2.809881
217,train,2.808459
218,train,2.846293
219,train,2.815529
220,train,2.806763
221,train,2.780536
222,train,2.776446
223,train,2.755136
224,train,2.769282
225,train,2.787873
226,train,2.779496
227,train,2.766634
228,train,2.738760
229,train,2.751953
230,train,2.735195
231,train,2.713843
232,train,2.697407
233,train,2.733829
234,train,2.740984
235,train,2.706048
236,train,2.720207
237,train,2.671145
238,train,2.695687
239,train,2.670564
240,train,2.688896
241,train,2.664485
242,train,2.641870
243,train,2.648015
244,train,2.627833
245,train,2.633363
246,train,2.626975
247,train,2.620496
248,train,2.658313
249,train,2.622498
250,train,2.627287
251,train,2.612750
252,train,2.605210
253,train,2.574135
254,train,2.584322
255,train,2.577450
256,train,2.588800
257,train,2.554811
258,train,2.575917
259,train,2.596647
