step,split,loss,lr
0,train,9.301603,0.03
1,train,9.381132,0.03
2,train,5.286132,0.03
3,train,6.860096,0.03
4,train,7.529401,0.03
5,train,7.990645,0.03
6,train,6.970349,0.03
7,train,6.804688,0.03
8,train,6.467276,0.03
9,train,5.822119,0.03
10,train,5.404504,0.03
11,train,4.885984,0.03
12,train,4.545803,0.03
13,train,4.385174,0.03
14,train,4.327756,0.03
15,train,4.174670,0.03
16,train,4.132679,0.03
17,train,4.114550,0.03
18,train,4.045262,0.03
19,train,3.989613,0.03
20,train,3.886834,0.03
21,train,3.993938,0.03
22,train,3.888787,0.03
23,train,3.840811,0.03
24,train,3.804884,0.03
25,train,3.769523,0.03
26,train,3.785522,0.03
27,train,3.733430,0.03
28,train,3.814337,0.03
29,train,3.719717,0.03
30,train,3.716586,0.03
31,train,3.745293,0.03
32,train,3.708036,0.03
33,train,3.611538,0.03
34,train,3.582932,0.03
35,train,3.673686,0.03
36,train,3.592143,0.03
37,train,3.645029,0.03
38,train,3.595273,0.03
39,train,3.631812,0.03
40,train,3.618546,0.03
41,train,3.527206,0.03
42,train,3.541876,0.03
43,train,3.620054,0.03
44,train,3.592387,0.03
45,train,3.589309,0.03
46,train,3.612924,0.03
47,train,3.566326,0.03
48,train,3.531806,0.03
49,train,3.512720,0.03
50,train,3.603999,0.03
51,train,3.626728,0.03
52,train,3.517167,0.03
53,train,3.542475,0.03
54,train,3.564157,0.03
55,train,3.521904,0.03
56,train,3.558135,0.03
57,train,3.514611,0.03
58,train,3.421834,0.03
59,train,3.441735,0.03
60,train,3.453865,0.03
61,train,3.503405,0.03
62,train,3.462738,0.03
63,train,3.434860,0.03
64,train,3.467284,0.03
65,train,3.448230,0.03
66,train,3.385172,0.03
67,train,3.412245,0.03
68,train,3.471179,0.03
69,train,3.379529,0.03
70,train,3.456340,0.03
71,train,3.417970,0.03
72,train,3.465130,0.03
73,train,3.365123,0.03
74,train,3.296219,0.03
75,train,3.352826,0.03
76,train,3.359848,0.03
77,train,3.405768,0.03
78,train,3.343088,0.03
79,train,3.382076,0.03
80,train,3.332173,0.03
81,train,3.308711,0.03
82,train,3.309590,0.03
83,train,3.319574,0.03
84,train,3.362098,0.03
85,train,3.377813,0.03
86,train,3.314504,0.03
87,train,3.349218,0.03
88,train,3.377392,0.03
89,train,3.335050,0.03
90,train,3.285024,0.03
91,train,3.243392,0.03
92,train,3.307492,0.03
93,train,3.397133,0.03
94,train,3.301552,0.03
95,train,3.260813,0.03
96,train,3.284847,0.03
97,train,3.268710,0.03
98,train,3.359420,0.03
99,train,3.287604,0.03
100,train,3.334420,0.03
100,val,3.287270,0.03
101,train,3.242633,0.03
102,train,3.262302,0.03
103,train,3.314539,0.03
104,train,3.465564,0.03
105,train,3.318173,0.03
106,train,3.375258,0.03
107,train,3.268483,0.03
108,train,3.338160,0.03
109,train,3.251849,0.03
110,train,3.238985,0.03
111,train,3.282578,0.03
112,train,3.273283,0.03
113,train,3.280539,0.03
114,train,3.227701,0.03
115,train,3.289573,0.03
116,train,3.310930,0.03
117,train,3.285995,0.03
118,train,3.276784,0.03
119,train,3.265454,0.03
120,train,3.202995,0.03
121,train,3.351186,0.03
122,train,3.240132,0.03
123,train,3.320169,0.03
124,train,3.236653,0.03
125,train,3.171394,0.03
126,train,3.185155,0.03
127,train,3.260148,0.03
128,train,3.246421,0.03
129,train,3.134930,0.03
130,train,3.201339,0.03
131,train,3.271251,0.03
132,train,3.209630,0.03
133,train,3.202895,0.03
134,train,3.186257,0.03
135,train,3.176020,0.03
136,train,3.271124,0.03
137,train,3.180069,0.03
138,train,3.172933,0.03
139,train,3.257730,0.03
140,train,3.159214,0.03
141,train,3.245230,0.03
142,train,3.239112,0.03
143,train,3.178708,0.03
144,train,3.193339,0.03
145,train,3.161050,0.03
146,train,3.239211,0.03
147,train,3.182356,0.03
148,train,3.232504,0.03
149,train,3.197729,0.03
150,train,3.223352,0.03
151,train,3.225442,0.03
152,train,3.237603,0.03
153,train,3.223328,0.03
154,train,3.158288,0.03
155,train,3.149480,0.03
156,train,3.204179,0.03
157,train,3.193674,0.03
158,train,3.146814,0.03
159,train,3.156207,0.03
160,train,3.163187,0.03
161,train,3.098868,0.03
162,train,3.188436,0.03
163,train,3.141499,0.03
164,train,3.140004,0.03
165,train,3.126734,0.03
166,train,3.138853,0.03
167,train,3.143123,0.03
168,train,3.100954,0.03
169,train,3.095350,0.03
170,train,3.130556,0.03
171,train,3.123018,0.03
172,train,3.074609,0.03
173,train,3.105381,0.03
174,train,3.060311,0.03
175,train,3.129252,0.03
176,train,3.110468,0.03
177,train,3.048981,0.03
178,train,3.101417,0.03
179,train,3.080647,0.03
180,train,3.128099,0.03
181,train,3.083176,0.03
182,train,3.069963,0.03
183,train,3.196147,0.03
184,train,3.132643,0.03
185,train,3.087153,0.03
186,train,3.119913,0.03
187,train,3.065644,0.03
188,train,3.096499,0.03
189,train,3.033717,0.03
190,train,3.162922,0.03
191,train,3.102926,0.03
192,train,3.072138,0.03
193,train,3.091146,0.03
194,train,2.982692,0.03
195,train,3.067425,0.03
196,train,3.067032,0.03
197,train,3.099840,0.03
198,train,3.067246,0.03
199,train,3.011118,0.03
200,train,2.987699,0.03
200,val,3.041395,0.03
201,train,3.094060,0.03
202,train,3.076905,0.03
203,train,3.119874,0.03
204,train,2.956234,0.03
205,train,3.007650,0.03
206,train,3.024101,0.03
207,train,3.018586,0.03
208,train,2.984015,0.03
209,train,2.953902,0.03
210,train,2.949676,0.03
211,train,2.918239,0.03
212,train,2.945084,0.03
213,train,3.030231,0.03
214,train,2.895619,0.03
215,train,2.971053,0.03
216,train,2.843719,0.03
217,train,2.874846,0.03
218,train,2.913302,0.03
219,train,2.903946,0.03
220,train,2.892998,0.03
221,train,2.868268,0.03
222,train,2.854568,0.03
223,train,2.901672,0.03
224,train,2.802730,0.03
225,train,2.785585,0.03
226,train,2.798949,0.03
227,train,2.846481,0.03
228,train,2.788885,0.03
229,train,2.721039,0.03
230,train,2.779066,0.03
231,train,2.764783,0.03
232,train,2.762784,0.03
233,train,2.771060,0.03
234,train,2.781672,0.03
235,train,2.760584,0.03
236,train,2.649028,0.03
237,train,2.684642,0.03
238,train,2.777650,0.03
239,train,2.722493,0.03
240,train,2.725512,0.03
241,train,2.719030,0.03
242,train,2.774612,0.03
243,train,2.653506,0.03
244,train,2.689591,0.03
245,train,2.712157,0.03
246,train,2.687216,0.03
247,train,2.710099,0.03
248,train,2.715403,0.03
249,train,2.689301,0.03
250,train,2.677159,0.03
251,train,2.654189,0.03
252,train,2.650285,0.03
253,train,2.664399,0.03
254,train,2.610198,0.03
255,train,2.654434,0.03
256,train,2.626970,0.03
257,train,2.635543,0.03
258,train,2.611101,0.03
259,train,2.648622,0.03
260,train,2.677040,0.03
261,train,2.597321,0.03
262,train,2.599983,0.03
263,train,2.627788,0.03
264,train,2.595729,0.03
265,train,2.655563,0.03
266,train,2.549534,0.03
267,train,2.549166,0.03
268,train,2.577191,0.03
269,train,2.483850,0.03
270,train,2.622014,0.03
271,train,2.546336,0.03
272,train,2.534415,0.03
273,train,2.583444,0.03
274,train,2.534564,0.03
275,train,2.487473,0.03
276,train,2.624962,0.03
277,train,2.549853,0.03
278,train,2.529927,0.03
279,train,2.559256,0.03
280,train,2.489419,0.03
281,train,2.470617,0.03
282,train,2.448673,0.03
283,train,2.502506,0.03
284,train,2.446268,0.03
285,train,2.577568,0.03
286,train,2.439408,0.03
287,train,2.480671,0.03
288,train,2.514088,0.03
289,train,2.434639,0.03
290,train,2.437152,0.03
291,train,2.410867,0.03
292,train,2.457975,0.03
293,train,2.445299,0.03
294,train,2.395649,0.03
295,train,2.439959,0.03
296,train,2.416005,0.03
297,train,2.422341,0.03
298,train,2.454798,0.03
299,train,2.410759,0.03
300,train,2.423465,0.03
300,val,2.391137,0.03
301,train,2.389250,0.03
302,train,2.330725,0.03
303,train,2.389074,0.03
304,train,2.385406,0.03
305,train,2.375482,0.03
306,train,2.451386,0.03
307,train,2.339521,0.03
308,train,2.363873,0.03
309,train,2.366131,0.03
310,train,2.332175,0.03
311,train,2.317410,0.03
312,train,2.347370,0.03
313,train,2.386614,0.03
314,train,2.272340,0.03
315,train,2.338435,0.03
316,train,2.305818,0.03
317,train,2.299538,0.03
318,train,2.275993,0.03
319,train,2.286213,0.03
320,train,2.306855,0.03
321,train,2.312730,0.03
322,train,2.314953,0.03
323,train,2.370327,0.03
324,train,2.333966,0.03
325,train,2.312973,0.03
326,train,2.284058,0.03
327,train,2.257259,0.03
328,train,2.224696,0.03
329,train,2.282881,0.03
330,train,2.251464,0.03
331,train,2.313973,0.03
332,train,2.364336,0.03
333,train,2.324238,0.03
334,train,2.286182,0.03
335,train,2.257700,0.03
336,train,2.329150,0.03
337,train,2.227525,0.03
338,train,2.365837,0.03
339,train,2.377815,0.03
340,train,2.227862,0.03
341,train,2.219113,0.03
342,train,2.309561,0.03
343,train,2.211680,0.03
344,train,2.180238,0.03
345,train,2.285923,0.03
346,train,2.108234,0.03
347,train,2.209052,0.03
348,train,2.287961,0.03
