step,split,loss,lr
0,train,9.306813,0.0
1,train,9.301447,1.5e-05
2,train,9.183107,3e-05
3,train,8.946077,4.4999999999999996e-05
4,train,8.647259,6e-05
5,train,8.306938,7.500000000000001e-05
6,train,8.030811,8.999999999999999e-05
7,train,7.772517,0.00010500000000000002
8,train,7.499451,0.00012
9,train,7.250128,0.000135
10,train,7.044244,0.00015000000000000001
11,train,6.826215,0.000165
12,train,6.641193,0.00017999999999999998
13,train,6.475320,0.00019500000000000002
14,train,6.260437,0.00021000000000000004
15,train,6.135334,0.000225
16,train,5.935925,0.00024
17,train,5.823277,0.000255
18,train,5.631826,0.00027
19,train,5.510363,0.000285
20,train,5.353597,0.00030000000000000003
21,train,5.184841,0.000315
22,train,5.036181,0.00033
23,train,4.875782,0.00034500000000000004
24,train,4.760870,0.00035999999999999997
25,train,4.641116,0.000375
26,train,4.489664,0.00039000000000000005
27,train,4.410562,0.00040500000000000003
28,train,4.283237,0.00042000000000000007
29,train,4.174692,0.000435
30,train,4.069489,0.00045
31,train,3.993331,0.000465
32,train,3.896937,0.00048
33,train,3.857058,0.000495
34,train,3.796253,0.00051
35,train,3.810465,0.000525
36,train,3.764219,0.00054
37,train,3.681404,0.000555
38,train,3.696725,0.00057
39,train,3.640404,0.000585
40,train,3.564822,0.0006000000000000001
41,train,3.542085,0.000615
42,train,3.483327,0.00063
43,train,3.492600,0.000645
44,train,3.451730,0.00066
45,train,3.375369,0.000675
46,train,3.339103,0.0006900000000000001
47,train,3.313886,0.000705
48,train,3.325523,0.0007199999999999999
49,train,3.241727,0.000735
50,train,3.223991,0.00075
51,train,3.233972,0.0007650000000000001
52,train,3.186036,0.0007800000000000001
53,train,3.155675,0.000795
54,train,3.134830,0.0008100000000000001
55,train,3.090180,0.0008250000000000001
56,train,3.011700,0.0008400000000000001
57,train,3.045760,0.000855
58,train,3.039769,0.00087
59,train,3.000381,0.0008849999999999999
60,train,2.965235,0.0009
61,train,2.922888,0.000915
62,train,2.981454,0.00093
63,train,2.919496,0.000945
64,train,2.902526,0.00096
65,train,2.898546,0.0009750000000000001
66,train,2.839925,0.00099
67,train,2.858708,0.001005
68,train,2.774042,0.00102
69,train,2.871259,0.001035
70,train,2.829697,0.00105
71,train,2.821393,0.001065
72,train,2.829869,0.00108
73,train,2.733723,0.001095
74,train,2.734685,0.00111
75,train,2.695965,0.0011250000000000001
76,train,2.699872,0.00114
77,train,2.706289,0.001155
78,train,2.655967,0.00117
79,train,2.663239,0.001185
80,train,2.659139,0.0012000000000000001
81,train,2.594771,0.0012150000000000002
82,train,2.599610,0.00123
83,train,2.637237,0.001245
84,train,2.589888,0.00126
85,train,2.634715,0.001275
86,train,2.557174,0.00129
87,train,2.588805,0.001305
88,train,2.532346,0.00132
89,train,2.554417,0.001335
90,train,2.523596,0.00135
91,train,2.600598,0.0013650000000000001
92,train,2.571322,0.0013800000000000002
93,train,2.448921,0.0013950000000000002
94,train,2.472285,0.00141
95,train,2.509662,0.001425
96,train,2.511224,0.0014399999999999999
97,train,2.466902,0.001455
98,train,2.416497,0.00147
99,train,2.455058,0.001485
100,train,2.391824,0.0015
101,train,2.345424,0.001515
102,train,2.368941,0.0015300000000000001
