step,split,loss,lr
0,train,9.398338,0.0
1,train,9.399156,1.5e-05
2,train,9.304121,3e-05
3,train,9.112087,4.4999999999999996e-05
4,train,8.823185,6e-05
5,train,8.517830,7.500000000000001e-05
6,train,8.215895,8.999999999999999e-05
7,train,7.942007,0.00010500000000000002
8,train,7.665747,0.00012
9,train,7.426289,0.000135
10,train,7.191338,0.00015000000000000001
11,train,6.987274,0.000165
12,train,6.787613,0.00017999999999999998
13,train,6.610829,0.00019500000000000002
14,train,6.441280,0.00021000000000000004
15,train,6.258548,0.000225
16,train,6.085680,0.00024
17,train,5.911339,0.000255
18,train,5.722421,0.00027
19,train,5.562775,0.000285
20,train,5.445335,0.00030000000000000003
21,train,5.244807,0.000315
22,train,5.064570,0.00033
23,train,4.862369,0.00034500000000000004
24,train,4.740441,0.00035999999999999997
25,train,4.611867,0.000375
26,train,4.507230,0.00039000000000000005
27,train,4.391751,0.00040500000000000003
28,train,4.284100,0.00042000000000000007
29,train,4.181212,0.000435
30,train,4.066958,0.00045
31,train,4.046691,0.000465
32,train,3.925630,0.00048
33,train,3.831556,0.000495
34,train,3.836382,0.00051
35,train,3.753852,0.000525
36,train,3.784006,0.00054
37,train,3.731514,0.000555
38,train,3.644139,0.00057
39,train,3.582921,0.000585
40,train,3.559498,0.0006000000000000001
41,train,3.510034,0.000615
42,train,3.509381,0.00063
43,train,3.484097,0.000645
44,train,3.470909,0.00066
45,train,3.362632,0.000675
46,train,3.349769,0.0006900000000000001
47,train,3.306273,0.000705
48,train,3.312560,0.0007199999999999999
49,train,3.286294,0.000735
50,train,3.263371,0.00075
51,train,3.236546,0.0007650000000000001
52,train,3.203089,0.0007800000000000001
53,train,3.133526,0.000795
54,train,3.105560,0.0008100000000000001
55,train,3.141731,0.0008250000000000001
56,train,3.020930,0.0008400000000000001
57,train,3.010054,0.000855
58,train,3.018470,0.00087
59,train,2.978151,0.0008849999999999999
60,train,2.933996,0.0009
61,train,2.957997,0.000915
62,train,2.912637,0.00093
63,train,2.928595,0.000945
64,train,2.866832,0.00096
65,train,2.847972,0.0009750000000000001
66,train,2.827832,0.00099
67,train,2.783741,0.001005
68,train,2.816885,0.00102
69,train,2.810743,0.001035
70,train,2.796532,0.00105
71,train,2.745803,0.001065
72,train,2.755208,0.00108
73,train,2.748198,0.001095
74,train,2.718714,0.00111
75,train,2.716457,0.0011250000000000001
76,train,2.676712,0.00114
77,train,2.724482,0.001155
78,train,2.679931,0.00117
79,train,2.607808,0.001185
80,train,2.646322,0.0012000000000000001
81,train,2.696082,0.0012150000000000002
82,train,2.678478,0.00123
83,train,2.651126,0.001245
84,train,2.600737,0.00126
85,train,2.595721,0.001275
86,train,2.603708,0.00129
87,train,2.517121,0.001305
88,train,2.587274,0.00132
89,train,2.498265,0.001335
90,train,2.495979,0.00135
91,train,2.539991,0.0013650000000000001
92,train,2.473584,0.0013800000000000002
93,train,2.462398,0.0013950000000000002
94,train,2.410080,0.00141
95,train,2.426357,0.001425
96,train,2.386155,0.0014399999999999999
97,train,2.383227,0.001455
98,train,2.351613,0.00147
99,train,2.353993,0.001485
100,train,2.292592,0.0015
101,train,2.308481,0.001515
102,train,2.337659,0.0015300000000000001
103,train,2.339505,0.0015450000000000001
104,train,2.270746,0.0015600000000000002
105,train,2.224959,0.001575
106,train,2.222836,0.00159
107,train,2.212759,0.001605
108,train,2.209881,0.0016200000000000001
109,train,2.190737,0.0016350000000000002
110,train,2.182436,0.0016500000000000002
111,train,2.098387,0.0016650000000000002
112,train,2.095189,0.0016800000000000003
113,train,2.142673,0.001695
114,train,2.142237,0.00171
115,train,2.106793,0.001725
116,train,2.031925,0.00174
117,train,2.095917,0.0017549999999999998
118,train,2.062448,0.0017699999999999999
119,train,1.969281,0.001785
120,train,1.989295,0.0018
121,train,1.997416,0.001815
122,train,1.995390,0.00183
123,train,1.978838,0.001845
124,train,1.959680,0.00186
125,train,1.911647,0.001875
126,train,1.940512,0.00189
127,train,1.962973,0.001905
128,train,1.931683,0.00192
129,train,1.987143,0.001935
130,train,1.941078,0.0019500000000000001
131,train,1.907284,0.001965
132,train,1.972850,0.00198
133,train,1.859759,0.0019950000000000002
134,train,1.871078,0.00201
135,train,1.873160,0.0020250000000000003
136,train,1.871043,0.00204
137,train,1.896982,0.0020550000000000004
138,train,1.821100,0.00207
139,train,1.851405,0.002085
140,train,1.887754,0.0021
141,train,1.853165,0.002115
142,train,1.797434,0.00213
143,train,1.885065,0.0021449999999999998
144,train,1.854413,0.00216
145,train,1.847516,0.002175
146,train,1.809419,0.00219
147,train,1.786389,0.002205
148,train,1.764079,0.00222
149,train,1.822035,0.002235
150,train,1.795153,0.0022500000000000003
151,train,1.784162,0.002265
152,train,1.755978,0.00228
153,train,1.838591,0.002295
154,train,1.747478,0.00231
155,train,1.725716,0.0023250000000000002
156,train,1.743555,0.00234
157,train,1.759213,0.0023550000000000003
158,train,1.731743,0.00237
159,train,1.717092,0.002385
160,train,1.721625,0.0024000000000000002
161,train,1.720329,0.002415
162,train,1.750758,0.0024300000000000003
163,train,1.692404,0.0024449999999999997
164,train,1.693261,0.00246
165,train,1.707716,0.0024749999999999998
166,train,1.692440,0.00249
167,train,1.715692,0.002505
168,train,1.682280,0.00252
169,train,1.721979,0.002535
170,train,1.651007,0.00255
171,train,1.740911,0.002565
172,train,1.680712,0.00258
173,train,1.704690,0.002595
174,train,1.640891,0.00261
175,train,1.662892,0.002625
176,train,1.658638,0.00264
177,train,1.621492,0.0026550000000000002
178,train,1.653124,0.00267
179,train,1.678971,0.0026850000000000003
180,train,1.660743,0.0027
181,train,1.687961,0.002715
182,train,1.631996,0.0027300000000000002
183,train,1.599837,0.002745
184,train,1.641024,0.0027600000000000003
185,train,1.672314,0.002775
186,train,1.546265,0.0027900000000000004
187,train,1.578422,0.002805
188,train,1.680296,0.00282
189,train,1.635667,0.002835
190,train,1.580610,0.00285
191,train,1.635328,0.002865
192,train,1.556222,0.0028799999999999997
193,train,1.600689,0.002895
194,train,1.570628,0.00291
195,train,1.609403,0.002925
196,train,1.655272,0.00294
197,train,1.633344,0.002955
198,train,1.600051,0.00297
199,train,1.571636,0.0029850000000000002
200,train,1.627767,0.003
200,val,1.585373,0.003
201,train,1.609418,0.002999997204898089
202,train,1.563478,0.002999988819603132
203,train,1.567003,0.002999974844147458
204,train,1.552125,0.0029999552785849454
205,train,1.585078,0.002999930122991026
206,train,1.595167,0.002999899377462682
207,train,1.584579,0.0029998630421184482
208,train,1.563790,0.002999821117098408
209,train,1.598256,0.0029997736025641954
210,train,1.603791,0.002999720498698994
211,train,1.559242,0.002999661805707536
212,train,1.568007,0.002999597523816101
213,train,1.556051,0.0029995276532725156
214,train,1.510666,0.002999452194346153
215,train,1.540158,0.002999371147327931
216,train,1.519329,0.002999284512530311
217,train,1.590154,0.0029991922902872967
218,train,1.472884,0.002999094480954435
219,train,1.569667,0.0029989910849088108
220,train,1.519052,0.0029988821025490483
221,train,1.509914,0.0029987675342953084
222,train,1.519962,0.0029986473805892876
223,train,1.617828,0.0029985216418942163
224,train,1.495824,0.0029983903186948566
225,train,1.493741,0.0029982534114975
226,train,1.536510,0.002998110920829967
227,train,1.547753,0.0029979628472416035
228,train,1.533668,0.0029978091913032802
229,train,1.462047,0.0029976499536073877
230,train,1.466503,0.002997485134767838
231,train,1.499121,0.0029973147354200595
232,train,1.588076,0.0029971387562209937
233,train,1.489912,0.0029969571978490967
234,train,1.535280,0.002996770061004333
235,train,1.512015,0.002996577346408173
236,train,1.508838,0.0029963790548035918
237,train,1.544019,0.002996175186955066
238,train,1.507397,0.0029959657436485695
239,train,1.498363,0.0029957507256915725
240,train,1.546935,0.0029955301339130358
241,train,1.476982,0.00299530396916341
242,train,1.457772,0.002995072232314631
243,train,1.476076,0.0029948349242601173
244,train,1.494934,0.002994592045914765
245,train,1.486377,0.0029943435982149468
246,train,1.468142,0.0029940895821185054
247,train,1.463773,0.0029938299986047535
248,train,1.466096,0.002993564848674466
249,train,1.422543,0.0029932941333498794
250,train,1.491287,0.002993017853674686
251,train,1.506846,0.0029927360107140292
252,train,1.446181,0.0029924486055545037
253,train,1.557232,0.0029921556393041446
254,train,1.476526,0.00299185711309243
255,train,1.520412,0.002991553028070271
256,train,1.444772,0.002991243385410011
257,train,1.481359,0.0029909281863054185
258,train,1.466722,0.002990607431971685
259,train,1.484973,0.0029902811236454203
260,train,1.484211,0.0029899492625846433
261,train,1.513021,0.002989611850068783
262,train,1.435645,0.00298926888739867
263,train,1.448664,0.0029889203758965335
264,train,1.471817,0.002988566316905993
265,train,1.455988,0.0029882067117920578
266,train,1.500423,0.002987841561941118
267,train,1.442243,0.0029874708687609407
268,train,1.513938,0.0029870946336806635
269,train,1.494354,0.0029867128581507908
270,train,1.437252,0.002986325543643187
271,train,1.425699,0.0029859326916510704
272,train,1.376861,0.0029855343036890086
273,train,1.497867,0.0029851303812929116
274,train,1.428049,0.002984720926020027
275,train,1.379989,0.0029843059394489327
276,train,1.476094,0.002983885423179532
277,train,1.486462,0.0029834593788330465
278,train,1.450541,0.0029830278080520104
279,train,1.415084,0.002982590712500265
280,train,1.443938,0.00298214809386295
281,train,1.423035,0.002981699953846498
282,train,1.413807,0.00298124629417863
283,train,1.430578,0.0029807871166083457
284,train,1.424391,0.0029803224229059183
285,train,1.438717,0.0029798522148628877
286,train,1.403692,0.0029793764942920528
