step,split,loss,lr
0,train,9.173169,0.035294699999999984
1,train,7.754303,0.035294699999999984
2,train,5.336185,0.035294699999999984
3,train,7.406813,0.035294699999999984
4,train,7.848828,0.035294699999999984
5,train,8.256235,0.035294699999999984
6,train,9.850924,0.035294699999999984
7,train,8.088701,0.035294699999999984
8,train,7.707775,0.035294699999999984
9,train,6.856117,0.035294699999999984
10,train,6.060223,0.035294699999999984
11,train,5.455713,0.035294699999999984
12,train,4.981144,0.035294699999999984
13,train,4.816205,0.035294699999999984
14,train,4.770004,0.035294699999999984
15,train,4.771959,0.035294699999999984
16,train,4.669261,0.035294699999999984
17,train,4.652328,0.035294699999999984
18,train,4.572852,0.035294699999999984
19,train,4.488176,0.035294699999999984
20,train,4.475298,0.035294699999999984
21,train,4.483952,0.035294699999999984
22,train,4.432751,0.035294699999999984
23,train,4.406003,0.035294699999999984
24,train,4.379925,0.035294699999999984
25,train,4.364038,0.035294699999999984
26,train,4.336872,0.035294699999999984
27,train,4.344171,0.035294699999999984
28,train,4.308489,0.035294699999999984
29,train,4.312393,0.035294699999999984
30,train,4.302463,0.035294699999999984
31,train,4.280291,0.035294699999999984
32,train,4.273769,0.035294699999999984
33,train,4.270160,0.035294699999999984
34,train,4.241882,0.035294699999999984
35,train,4.242745,0.035294699999999984
36,train,4.230192,0.035294699999999984
37,train,4.210216,0.035294699999999984
38,train,4.209360,0.035294699999999984
39,train,4.211661,0.035294699999999984
40,train,4.194193,0.035294699999999984
41,train,4.200954,0.035294699999999984
42,train,4.222656,0.035294699999999984
43,train,4.173748,0.035294699999999984
44,train,4.204692,0.035294699999999984
45,train,4.188295,0.035294699999999984
46,train,4.181983,0.035294699999999984
47,train,4.192619,0.035294699999999984
48,train,4.158817,0.035294699999999984
49,train,4.144853,0.035294699999999984
50,train,4.159617,0.035294699999999984
51,train,4.168493,0.035294699999999984
52,train,4.186773,0.035294699999999984
53,train,4.142385,0.035294699999999984
54,train,4.141496,0.035294699999999984
55,train,4.139961,0.035294699999999984
56,train,4.117566,0.035294699999999984
57,train,4.128726,0.035294699999999984
58,train,4.101649,0.035294699999999984
59,train,4.067468,0.035294699999999984
60,train,4.042646,0.035294699999999984
61,train,4.029918,0.035294699999999984
62,train,3.974877,0.035294699999999984
63,train,3.972383,0.035294699999999984
64,train,3.947516,0.035294699999999984
65,train,3.926290,0.035294699999999984
66,train,3.907337,0.035294699999999984
67,train,3.872555,0.035294699999999984
68,train,3.852466,0.035294699999999984
69,train,3.844121,0.035294699999999984
70,train,3.825484,0.035294699999999984
71,train,3.825597,0.035294699999999984
72,train,3.804970,0.035294699999999984
73,train,3.790159,0.035294699999999984
74,train,3.788370,0.035294699999999984
75,train,3.757762,0.035294699999999984
