step,split,loss,lr
0,train,9.155530,0.03
1,train,6.908348,0.03
2,train,5.268758,0.03
3,train,8.988909,0.03
4,train,12.615257,0.03
5,train,12.706345,0.03
6,train,12.038281,0.03
7,train,10.394126,0.03
8,train,8.087427,0.03
9,train,6.790480,0.03
10,train,6.936506,0.03
11,train,6.362755,0.03
12,train,5.647273,0.03
13,train,5.133482,0.03
14,train,5.113591,0.03
15,train,4.934639,0.03
16,train,4.943897,0.03
17,train,4.755788,0.03
18,train,4.523933,0.03
19,train,4.496928,0.03
20,train,4.416476,0.03
21,train,4.466953,0.03
22,train,4.407244,0.03
23,train,4.393710,0.03
24,train,4.406969,0.03
25,train,4.423642,0.03
26,train,4.383039,0.03
27,train,4.292055,0.03
28,train,4.271432,0.03
29,train,4.309082,0.03
30,train,4.301628,0.03
31,train,4.334217,0.03
32,train,4.276245,0.03
33,train,4.312279,0.03
34,train,4.354764,0.03
35,train,4.249344,0.03
36,train,4.290661,0.03
37,train,4.292324,0.03
38,train,4.227592,0.03
39,train,4.188733,0.03
40,train,4.222061,0.03
41,train,4.249019,0.03
42,train,4.213661,0.03
43,train,4.207932,0.03
44,train,4.211824,0.03
45,train,4.202533,0.03
46,train,4.183065,0.03
47,train,4.214870,0.03
48,train,4.233277,0.03
49,train,4.216308,0.03
50,train,4.223592,0.03
51,train,4.254464,0.03
52,train,4.228555,0.03
53,train,4.245309,0.03
54,train,4.259363,0.03
55,train,4.202856,0.03
56,train,4.206948,0.03
57,train,4.190091,0.03
58,train,4.185872,0.03
59,train,4.230414,0.03
60,train,4.242358,0.03
61,train,4.178938,0.03
62,train,4.210927,0.03
63,train,4.191928,0.03
64,train,4.186140,0.03
65,train,4.177848,0.03
66,train,4.153479,0.03
67,train,4.143956,0.03
68,train,4.170827,0.03
69,train,4.145661,0.03
70,train,4.129675,0.03
71,train,4.157098,0.03
72,train,4.099319,0.03
73,train,4.142080,0.03
74,train,4.091474,0.03
75,train,4.162334,0.03
76,train,4.137148,0.03
77,train,4.106336,0.03
78,train,4.075919,0.03
79,train,4.053299,0.03
80,train,4.101559,0.03
81,train,4.112723,0.03
82,train,4.093995,0.03
83,train,4.076373,0.03
84,train,4.099676,0.03
85,train,4.114415,0.03
86,train,4.022820,0.03
87,train,3.997151,0.03
88,train,4.019706,0.03
89,train,4.040488,0.03
90,train,3.935436,0.03
91,train,3.967023,0.03
92,train,4.027702,0.03
93,train,3.862629,0.03
94,train,3.886428,0.03
95,train,3.885205,0.03
96,train,3.804469,0.03
97,train,3.824643,0.03
98,train,3.833845,0.03
99,train,3.877915,0.03
100,train,3.758835,0.03
100,val,3.757119,0.03
101,train,3.749453,0.03
102,train,3.760534,0.03
103,train,3.724236,0.03
104,train,3.754920,0.03
105,train,3.681726,0.03
106,train,3.668363,0.03
107,train,3.610839,0.03
108,train,3.747638,0.03
109,train,3.652017,0.03
110,train,3.611205,0.03
111,train,3.623706,0.03
112,train,3.541743,0.03
113,train,3.545047,0.03
114,train,3.545573,0.03
115,train,3.560557,0.03
116,train,3.563205,0.03
117,train,3.500419,0.03
118,train,3.569803,0.03
119,train,3.501486,0.03
120,train,3.498719,0.03
121,train,3.538461,0.03
122,train,3.439240,0.03
123,train,3.443450,0.03
124,train,3.463896,0.03
125,train,3.490067,0.03
126,train,3.439979,0.03
127,train,3.439875,0.03
128,train,3.420850,0.03
129,train,3.448169,0.03
130,train,3.419303,0.03
131,train,3.375923,0.03
132,train,3.355352,0.03
133,train,3.309104,0.03
134,train,3.347608,0.03
135,train,3.375655,0.03
136,train,3.382242,0.03
137,train,3.361900,0.03
138,train,3.368542,0.03
139,train,3.334766,0.03
140,train,3.362853,0.03
141,train,3.349813,0.03
142,train,3.331350,0.03
143,train,3.389261,0.03
144,train,3.414628,0.03
145,train,3.305753,0.03
146,train,3.368556,0.03
147,train,3.292242,0.03
148,train,3.313977,0.03
149,train,3.326370,0.03
150,train,3.278047,0.03
151,train,3.323819,0.03
152,train,3.301645,0.03
153,train,3.279637,0.03
154,train,3.252199,0.03
155,train,3.298748,0.03
156,train,3.228045,0.03
157,train,3.220472,0.03
158,train,3.221915,0.03
159,train,3.243484,0.03
160,train,3.201723,0.03
161,train,3.191108,0.03
162,train,3.155364,0.03
163,train,3.206228,0.03
164,train,3.211117,0.03
165,train,3.237606,0.03
166,train,3.158047,0.03
167,train,3.113906,0.03
168,train,3.162716,0.03
169,train,3.163057,0.03
170,train,3.158273,0.03
171,train,3.177773,0.03
172,train,3.128799,0.03
173,train,3.102294,0.03
174,train,3.144454,0.03
175,train,3.180593,0.03
176,train,3.156174,0.03
177,train,3.209300,0.03
178,train,3.129942,0.03
179,train,3.046333,0.03
180,train,3.064611,0.03
181,train,3.031311,0.03
182,train,3.041865,0.03
183,train,3.058734,0.03
184,train,3.068256,0.03
185,train,3.055385,0.03
186,train,3.039610,0.03
187,train,2.982445,0.03
188,train,3.046283,0.03
189,train,3.027911,0.03
190,train,2.957426,0.03
191,train,2.984131,0.03
192,train,2.934384,0.03
193,train,3.027173,0.03
194,train,2.975595,0.03
195,train,2.959510,0.03
196,train,2.989721,0.03
197,train,2.902381,0.03
198,train,2.964920,0.03
199,train,2.886164,0.03
200,train,2.891884,0.03
200,val,2.904911,0.03
201,train,2.926424,0.03
202,train,2.866815,0.03
203,train,2.856923,0.03
204,train,2.893843,0.03
205,train,2.842819,0.03
206,train,2.901161,0.03
207,train,2.792982,0.03
208,train,2.804777,0.03
209,train,2.754680,0.03
210,train,2.820334,0.03
211,train,2.819272,0.03
212,train,2.903232,0.03
213,train,2.799985,0.03
